15:16:27.376 INFO  testing logger 2018-04-08T12:16:27.376Z 
15:20:07.873 INFO  testing logger 2018-04-08T12:20:07.873Z 
16:07:13.997 INFO  testing logger 2018-04-08T13:07:13.996Z 
16:11:14.805 INFO  testing logger 2018-04-08T13:11:14.805Z 
16:13:00.710 INFO  testing logger 2018-04-08T13:13:00.709Z 
16:13:51.020 INFO  testing logger 2018-04-08T13:13:51.020Z 
16:15:38.838 INFO  testing logger 2018-04-08T13:15:38.837Z 
16:16:05.779 INFO  testing logger 2018-04-08T13:16:05.779Z 
16:17:14.470 INFO  testing logger 2018-04-08T13:17:14.469Z 
16:18:06.257 INFO  testing logger 2018-04-08T13:18:06.257Z 
16:19:23.945 INFO  testing logger 2018-04-08T13:19:23.945Z 
16:22:26.802 INFO  testing logger 2018-04-08T13:22:26.802Z 
16:23:00.111 INFO  testing logger 2018-04-08T13:23:00.111Z 
16:25:08.023 INFO  testing logger 2018-04-08T13:25:08.023Z 
16:26:05.159 INFO  testing logger 2018-04-08T13:26:05.158Z 
16:27:58.255 INFO  testing logger 2018-04-08T13:27:58.255Z 
16:30:06.540 INFO  testing logger 2018-04-08T13:30:06.539Z 
16:31:51.066 INFO  testing logger 2018-04-08T13:31:51.066Z 
16:34:10.853 INFO  testing logger 2018-04-08T13:34:10.853Z 
16:39:31.916 INFO  testing logger 2018-04-08T13:39:31.915Z 
16:40:38.146 INFO  testing logger 2018-04-08T13:40:38.145Z 
16:42:24.087 INFO  testing logger 2018-04-08T13:42:24.087Z 
16:43:09.655 INFO  testing logger 2018-04-08T13:43:09.655Z 
16:43:44.356 INFO  testing logger 2018-04-08T13:43:44.356Z 
16:45:27.663 INFO  testing logger 2018-04-08T13:45:27.663Z 
16:51:57.073 INFO  testing logger 2018-04-08T13:51:57.072Z 
16:54:37.323 INFO  testing logger 2018-04-08T13:54:37.323Z 
12:40:33.611 INFO  Data validation failed: url: Path `url` is required., time: Path `time` is required., mousepositionX: Path `mousepositionX` is required., mousepositionY: Path `mousepositionY` is required.
ValidationError: Data validation failed: url: Path `url` is required., time: Path `time` is required., mousepositionX: Path `mousepositionX` is required., mousepositionY: Path `mousepositionY` is required.
    at MongooseError.ValidationError (C:\Users\LauraPC\Desktop\BD\Real-Time-data-transfer-technologies\WebSockets\Server\node_modules\mongoose\lib\error\validation.js:27:11)
    at model.Document.invalidate (C:\Users\LauraPC\Desktop\BD\Real-Time-data-transfer-technologies\WebSockets\Server\node_modules\mongoose\lib\document.js:1725:32)
    at C:\Users\LauraPC\Desktop\BD\Real-Time-data-transfer-technologies\WebSockets\Server\node_modules\mongoose\lib\document.js:1597:17
    at C:\Users\LauraPC\Desktop\BD\Real-Time-data-transfer-technologies\WebSockets\Server\node_modules\mongoose\lib\schematype.js:785:9
    at _combinedTickCallback (internal/process/next_tick.js:73:7)
    at process._tickCallback (internal/process/next_tick.js:104:9) accepted at 2018-04-11T09:40:33.605Z 
12:40:33.708 INFO   accepted at 2018-04-11T09:40:33.708Z 
12:40:34.726 INFO   accepted at 2018-04-11T09:40:34.726Z 
12:40:34.727 INFO   accepted at 2018-04-11T09:40:34.727Z 
12:40:35.735 INFO   accepted at 2018-04-11T09:40:35.735Z 
12:40:35.736 INFO   accepted at 2018-04-11T09:40:35.736Z 
12:40:35.737 INFO   accepted at 2018-04-11T09:40:35.737Z 
12:40:36.749 INFO   accepted at 2018-04-11T09:40:36.749Z 
12:40:36.751 INFO   accepted at 2018-04-11T09:40:36.751Z 
12:40:36.753 INFO   accepted at 2018-04-11T09:40:36.753Z 
12:40:36.755 INFO   accepted at 2018-04-11T09:40:36.755Z 
12:40:37.812 INFO   accepted at 2018-04-11T09:40:37.812Z 
12:40:37.812 INFO   accepted at 2018-04-11T09:40:37.812Z 
12:40:37.812 INFO   accepted at 2018-04-11T09:40:37.812Z 
12:40:37.812 INFO   accepted at 2018-04-11T09:40:37.812Z 
12:40:37.812 INFO   accepted at 2018-04-11T09:40:37.812Z 
12:40:37.812 INFO   accepted at 2018-04-11T09:40:37.812Z 
12:40:37.812 INFO   accepted at 2018-04-11T09:40:37.812Z 
12:40:37.812 INFO   accepted at 2018-04-11T09:40:37.812Z 
12:40:37.812 INFO   accepted at 2018-04-11T09:40:37.812Z 
12:40:37.813 INFO   accepted at 2018-04-11T09:40:37.813Z 
12:40:37.813 INFO   accepted at 2018-04-11T09:40:37.813Z 
12:40:37.813 INFO   accepted at 2018-04-11T09:40:37.813Z 
12:40:37.813 INFO   accepted at 2018-04-11T09:40:37.813Z 
12:40:37.813 INFO   accepted at 2018-04-11T09:40:37.813Z 
12:40:37.813 INFO   accepted at 2018-04-11T09:40:37.813Z 
12:40:37.813 INFO   accepted at 2018-04-11T09:40:37.813Z 
12:40:37.813 INFO   accepted at 2018-04-11T09:40:37.813Z 
12:40:37.813 INFO   accepted at 2018-04-11T09:40:37.813Z 
12:40:37.813 INFO   accepted at 2018-04-11T09:40:37.813Z 
12:40:37.814 INFO   accepted at 2018-04-11T09:40:37.814Z 
12:40:37.814 INFO   accepted at 2018-04-11T09:40:37.814Z 
12:40:37.814 INFO   accepted at 2018-04-11T09:40:37.814Z 
12:40:37.815 INFO   accepted at 2018-04-11T09:40:37.815Z 
12:40:37.815 INFO   accepted at 2018-04-11T09:40:37.815Z 
12:40:37.815 INFO   accepted at 2018-04-11T09:40:37.815Z 
12:40:37.815 INFO   accepted at 2018-04-11T09:40:37.815Z 
12:40:37.815 INFO   accepted at 2018-04-11T09:40:37.815Z 
12:40:37.816 INFO   accepted at 2018-04-11T09:40:37.816Z 
12:40:37.816 INFO   accepted at 2018-04-11T09:40:37.816Z 
12:40:37.816 INFO   accepted at 2018-04-11T09:40:37.816Z 
12:40:37.816 INFO   accepted at 2018-04-11T09:40:37.816Z 
12:40:37.816 INFO   accepted at 2018-04-11T09:40:37.816Z 
12:40:37.816 INFO   accepted at 2018-04-11T09:40:37.816Z 
12:40:37.816 INFO   accepted at 2018-04-11T09:40:37.816Z 
12:40:37.816 INFO   accepted at 2018-04-11T09:40:37.816Z 
12:40:37.816 INFO   accepted at 2018-04-11T09:40:37.816Z 
12:40:37.816 INFO   accepted at 2018-04-11T09:40:37.816Z 
12:40:37.816 INFO   accepted at 2018-04-11T09:40:37.816Z 
12:40:37.816 INFO   accepted at 2018-04-11T09:40:37.816Z 
12:40:37.817 INFO   accepted at 2018-04-11T09:40:37.817Z 
12:40:37.817 INFO   accepted at 2018-04-11T09:40:37.817Z 
12:40:37.817 INFO   accepted at 2018-04-11T09:40:37.817Z 
12:40:37.817 INFO   accepted at 2018-04-11T09:40:37.817Z 
12:40:37.817 INFO   accepted at 2018-04-11T09:40:37.817Z 
12:40:37.817 INFO   accepted at 2018-04-11T09:40:37.817Z 
12:40:37.817 INFO   accepted at 2018-04-11T09:40:37.817Z 
